    858 -16342    586
    864 -16334    670
    888 -16400    582
    844 -16338    644
    858 -16370    592
    846 -16354    538
    852 -16308    620
    840 -16344    600
    842 -16374    600
    856 -16326    656
    884 -16364    530
    856 -16328    540
    838 -16350    620
    862 -16364    558
    858 -16342    600
    858 -16374    622
    878 -16356    564
    836 -16298    660
    854 -16390    586
    874 -16312    676
    866 -16346    626
    846 -16356    612
    852 -16290    660
    856 -16356    572
    894 -16340    576
    878 -16328    630
    862 -16352    594
    848 -16330    628
    842 -16352    636
    850 -16348    576
    850 -16330    646
    832 -16358    598
    814 -16354    630
    876 -16338    656
    874 -16314    562
    884 -16336    558
    836 -16332    634
    848 -16378    568
    860 -16342    622
    850 -16340    606
    850 -16344    570
    846 -16354    642
    882 -16368    578
    856 -16316    638
    828 -16360    636
    872 -16372    554
    854 -16336    622
    860 -16368    586
    882 -16324    576
    862 -16322    676
    866 -16338    566
    840 -16326    614
    856 -16346    658
    862 -16354    626
    860 -16318    614
    872 -16378    566
    884 -16354    612
    852 -16338    656
    882 -16356    536
    870 -16334    638
    882 -16332    612
    894 -16362    596
    878 -16358    598
    858 -16350    604
    848 -16334    594
    876 -16336    602
    848 -16354    562
    838 -16344    606
    872 -16348    638
    864 -16328    604
    842 -16338    628
    874 -16360    596
    864 -16342    622
    846 -16350    620
    868 -16364    580
    832 -16298    630
    826 -16368    626
    878 -16356    560
    860 -16316    594
    872 -16328    614
    872 -16344    602
    864 -16352    602
    822 -16372    574
    870 -16338    636
    878 -16346    612
    860 -16368    546
    822 -16332    620
    846 -16384    600
    866 -16342    586
    854 -16340    626
    892 -16382    600
    848 -16362    624
    864 -16350    636
    844 -16340    586
    798 -16324    606
    846 -16342    594
    848 -16328    622
    854 -16312    586
    842 -16350    590
    862 -16364    658
    868 -16318    662
    832 -16360    610
    858 -16346    632
    850 -16336    594
    856 -16358    626
    860 -16302    640
    862 -16344    564
    876 -16328    612
    864 -16336    598
    832 -16380    588
    856 -16338    628
    866 -16356    600
    832 -16374    628
    876 -16314    620
    862 -16380    598
    854 -16342    590
    834 -16348    670
    854 -16334    610
    852 -16346    598
    850 -16382    564
    850 -16342    598
    862 -16322    608
    876 -16336    654
    906 -16324    606
    872 -16368    612
    856 -16354    542
    846 -16332    644
    848 -16318    564
    842 -16344    600
    846 -16342    586
    860 -16378    578
    850 -16330    586
    846 -16368    590
    906 -16354    574
    864 -16312    622
    850 -16374    640
    894 -16298    650
    852 -16326    610
    846 -16344    546
    848 -16322    594
    868 -16348    574
    896 -16348    624
    858 -16282    622
