   1112    -66 -15942
   1088    -80 -15972
   1098    -68 -15958
   1112    -44 -15922
   1104    -70 -15976
   1116    -64 -15916
   1130    -74 -15950
   1122    -46 -15928
   1100    -50 -15946
   1106    -70 -16002
   1120    -42 -15998
   1120    -48 -15918
   1090    -40 -15972
   1124    -54 -15936
   1112    -82 -15960
   1120    -36 -15920
   1100    -70 -15954
   1102    -68 -15940
   1104    -28 -15954
   1120    -36 -15976
   1118    -56 -15954
   1076    -66 -15916
   1096    -66 -15954
   1110    -52 -15958
   1096    -56 -15958
   1120    -44 -15942
   1106    -38 -15920
   1124    -34 -15952
   1122    -44 -15942
   1092    -52 -15928
   1128    -72 -15954
   1100    -54 -15898
   1096    -74 -15974
   1140    -58 -15942
   1124    -46 -15946
   1088    -74 -15986
   1118    -48 -15954
   1130    -32 -15966
   1110    -64 -15942
   1078    -60 -15928
   1076    -30 -15966
   1108    -54 -16010
   1126    -46 -15994
   1128    -66 -15960
   1116    -52 -15942
   1114    -40 -15966
   1126    -72 -15946
   1132    -60 -15958
   1096    -82 -15898
   1078    -70 -15982
   1090    -64 -15944
   1124    -56 -15942
   1120    -68 -16006
   1110    -52 -15986
   1128    -38 -16002
   1124    -18 -15972
   1110    -74 -15986
   1106    -28 -15986
   1074     -6 -15894
   1128    -54 -15996
   1092    -56 -15944
   1064    -52 -15946
   1116    -50 -15976
   1132    -30 -15926
   1104    -54 -15974
   1110    -44 -15978
   1124    -62 -15974
   1104    -40 -15888
   1098    -58 -15972
   1096    -42 -15950
   1112    -54 -15936
   1100    -56 -15928
   1118    -80 -15982
   1132    -66 -15944
   1112    -42 -15960
   1106    -24 -15904
   1110    -38 -15970
   1108    -38 -15974
   1100    -40 -15950
   1126    -50 -15978
   1122    -46 -15972
   1110    -28 -15928
   1100    -62 -15950
   1146    -58 -15932
   1120    -52 -15978
   1088    -40 -15958
   1110    -34 -15952
   1106    -32 -15956
   1110    -50 -15978
   1092    -34 -15980
   1084    -52 -15936
   1110    -54 -15988
   1112    -46 -15986
   1094    -60 -15978
   1100    -58 -15964
   1106    -58 -15962
   1090    -14 -15936
   1074    -64 -15978
   1146    -38 -15938
   1112    -32 -15964
   1110    -54 -15928
   1100    -76 -15938
   1094    -24 -15984
   1114    -56 -15930
   1126    -60 -15970
   1108    -60 -15964
   1124    -58 -15944
   1114    -42 -15962
   1116    -32 -15942
   1142    -46 -15954
   1102    -44 -15986
   1096    -42 -15972
   1060    -50 -15946
   1108    -38 -15970
   1126    -20 -15902
   1100    -52 -15932
   1096    -84 -15978
   1106    -94 -15974
   1098    -42 -15954
   1100    -50 -15956
   1102    -54 -15950
   1094    -52 -15910
   1098    -58 -15988
   1126    -50 -15996
   1130    -52 -15966
   1122    -80 -15976
   1116    -20 -15954
   1080    -42 -15948
   1100    -46 -15956
   1100    -42 -15966
   1124    -30 -15974
   1088    -84 -15968
   1126    -52 -15970
   1126    -54 -15934
   1102    -54 -15974
   1112    -38 -15970
   1090    -54 -15984
   1112    -44 -15992
   1142    -46 -15968
   1116    -38 -15948
   1124    -32 -15906
   1092    -44 -15922
   1092    -24 -15958
   1128    -48 -15950
   1120    -54 -15994
   1132    -80 -15950
   1142    -32 -15974
   1128    -42 -15916
   1084    -54 -15926
   1126    -60 -15866
   1138    -46 -15936
   1100    -36 -15922
   1110    -44 -15950
   1090    -56 -15936
   1108    -44 -16016
   1112     -2 -15956
   1104    -60 -15930
   1098    -40 -15908
   1106    -18 -15958
   1126    -52 -15938
   1096    -52 -15916
   1104    -70 -15972
   1090    -48 -15958
   1116    -74 -15896
   1116    -18 -15968
   1140    -60 -15916
   1106    -42 -15974
   1110    -74 -15950
   1128    -62 -15942
   1112    -44 -15900
   1110    -84 -15964
   1128    -50 -15964
   1144     -6 -15936
   1108    -18 -15918
   1110    -48 -15996
   1096    -54 -15992
   1108    -72 -15980
   1072    -70 -16016
   1098    -62 -15972
   1112    -74 -15942
   1110    -26 -15964
   1110    -50 -15938
   1072    -56 -15966
   1112    -34 -15956
   1124    -38 -15952
   1112    -32 -15968
   1136    -14 -15980
   1126    -38 -15960
   1102    -62 -15970
   1124    -36 -15940
   1122    -58 -15972
   1084    -30 -15918
   1116    -52 -15968
   1144    -54 -15952
   1112    -66 -15962
   1122    -48 -15958
   1158    -44 -15982
   1092    -70 -15916
   1106    -42 -15968
   1106    -42 -15920
   1146    -76 -15964
   1116    -16 -15944
   1122    -32 -15942
   1116    -56 -15960
   1110    -30 -15962
   1118    -44 -15914
   1108    -46 -16020
   1070    -56 -15948
   1080    -72 -15994
   1122    -44 -15954
   1128    -62 -15960
   1116    -20 -15952
   1116    -36 -15966
   1120    -46 -15926
   1086    -66 -15966
   1132    -74 -15886
   1104    -50 -15958
   1130    -28 -15936
   1130    -24 -15922
   1120    -60 -15960
   1118    -48 -15964
   1118    -50 -15926
   1112    -52 -15960
   1120    -36 -15968
   1120    -54 -15956
   1102    -42 -15944
   1116    -42 -15960
   1102    -62 -15944
   1134    -36 -15976
   1120    -58 -15944
   1152    -44 -15950
   1116    -60 -15924
   1128    -60 -15936
